Flight No.;Launch site;Payload;Payload mass;Orbit;Customer;Launch outcome;Version Booster;Booster landing;Date;Time
43;KSC,LC-39A;SES-11 / EchoStar 105;5,200kg;GTO;SES S.A.EchoStar;Success;F9 FT ♺ B1031.2;Success(drone ship);11 October 2017;22:53:00
44;KSC,LC-39A;Koreasat 5A;3,500kg;GTO;KT Corporation;Success;F9 B4B1042.1;Success(drone ship);30 October 2017;19:34
45;Cape Canaveral,SLC-40;SpaceX CRS-13(Dragon C108.2 ♺);2,205kg;LEO (ISS);NASA (CRS);Success;F9 FT ♺ B1035.2;Success(ground pad);15 December 2017;15:36
46;VAFB,SLC-4E;Iridium NEXT-4(10 satellites);9,600kg;Polar LEO;Iridium Communications;Success;F9 FT ♺ B1036.2;Controlled(ocean)[d];23 December 2017;01:27
47;CCAFS,SLC-40;Zuma;C;LEO;Northrop Grumman [f];Success;F9 B4B1043.1;Success(ground pad);8 January 2018;01:00
48;CCAFS,SLC-40;GovSat-1 (SES-16);4,230kg;GTO;SES;Success;F9 FT ♺ B1032.2;Controlled(ocean)[d];31 January 2018;21:25
FH 1;KSC,LC-39A;Elon Musk's Tesla Roadster;~1,250kg;Heliocentric0.99–1.67 AU(close to Mars transfer orbit);SpaceX;Success;Falcon HeavyB1033.1 (core);Failure(drone ship);6 February 2018;20:45
49;VAFB,SLC-4E;PazTintin A and Tintin B;2,150kg;SSO;HisdesatexactEarthSpaceX;Success;F9 FT ♺B1038.2;Not attempted;22 February 2018;14:17
50;CCAFS,SLC-40;Hispasat 30W-6PODSat;6,092kg;GTO;HispasatNovaWurks;Success;F9 B4B1044.1;No attempt;6 March 2018;05:33
51;VAFB,SLC-4E;Iridium NEXT-5(10 satellites);9,600kg;Polar LEO;Iridium Communications;Success;F9 B4 ♺B1041.2;No attempt;30 March 2018;14:14
52;CCAFS,SLC-40;SpaceX CRS-14(Dragon C110.2 ♺);2,647kg;LEO (ISS);NASA (CRS);Success;F9 B4 ♺B1039.2;Not attempted;2 April 2018;20:30
